user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Sakinaw_120m_May2011_bin.23	d__Bacteria;p__Patescibacteria;c__WWE3;o__UBA101185;f__UBA10185;g__T3SED10-354;s__	N/A	N/A	N/A	N/A	N/A	GCA_003564915.1	95.0	d__Bacteria;p__Patescibacteria;c__WWE3;o__UBA101185;f__UBA10185;g__T3SED10-354;s__T3SED10-354 sp003564915	80.62	0.04	d__Bacteria;p__Patescibacteria;c__WWE3;o__UBA101185;f__UBA10185;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	65.28	11	0.8673083853970343	N/A
Sakinaw_120m_May2011_bin.25	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2210;g__UBA2210;s__	N/A	N/A	N/A	N/A	N/A	GCA_002327865.1	95.0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2210;g__UBA2210;s__UBA2210 sp002327865	78.31	0.4	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2210;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	87.59	11	0.8963489628713125	N/A
Sakinaw_120m_May2011_bin.26	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__E26-bin7;f__JACIWR01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_014360845.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__E26-bin7;f__JACIWR01;g__JACIWR01;s__JACIWR01 sp014360845	76.42	0.08	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__E26-bin7;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	79.53	11	0.7417896554995219	N/A
Sakinaw_120m_May2011_bin.28	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mariniphaga;s__	N/A	N/A	N/A	N/A	N/A	GCF_003573545.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mariniphaga;s__Mariniphaga sediminis	77.18	0.14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mariniphaga;s__	taxonomic classification defined by topology and ANI	N/A	GCF_900129025.1, s__Mariniphaga anaerophila, 95.0, 76.94, 0.11	60.39	11	0.9649920403846589	N/A
Sakinaw_120m_May2011_bin.29	d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikbacterales;f__UBA922;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001783065.1	95.0	d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikbacterales;f__UBA922;g__2-12-FULL-43-12;s__2-12-FULL-43-12 sp001783065	75.84	0.1	d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikbacterales;f__UBA922;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	65.22	11	0.8356939121556455	N/A
Sakinaw_120m_May2011_bin.3	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__JAAYNR01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_012520735.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__JAAYNR01;g__JAAYNR01;s__JAAYNR01 sp012520735	76.13	0.04	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__JAAYNR01;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	82.37	11	0.8251029826090799	N/A
Sakinaw_120m_May2011_bin.30	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Brevefilum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Brevefilum;s__	ANI	N/A	GCA_003542325.1, s__Brevefilum sp003542325, 95.0, 76.71, 0.08; GCA_011620555.1, s__Brevefilum sp011620555, 95.0, 76.7, 0.13; GCA_003563055.1, s__Brevefilum sp003563055, 95.0, 76.64, 0.05; GCA_002436005.1, s__Brevefilum sp002436005, 95.0, 76.46, 0.09; GCA_007119455.1, s__Brevefilum sp007119455, 95.0, 76.34, 0.05; GCA_002452315.1, s__Brevefilum sp002452315, 95.0, 76.26, 0.08; GCA_001508595.1, s__Brevefilum sp001508595, 95.0, 76.23, 0.09; GCA_002403205.1, s__Brevefilum sp002403205, 95.0, 76.11, 0.1; GCA_012522475.1, s__Brevefilum sp012522475, 95.0, 76.04, 0.05; GCA_007135845.1, s__Brevefilum sp007135845, 95.0, 75.72, 0.07; GCF_900184705.1, s__Brevefilum fermentans, 95.0, 75.61, 0.07	62.85	11	0.9329182794029034	N/A
Sakinaw_120m_May2011_bin.31	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__UBA5603;g__JAAYZB01;s__	N/A	N/A	N/A	N/A	N/A	GCA_012515085.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__UBA5603;g__JAAYZB01;s__JAAYZB01 sp012515085	76.02	0.07	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__UBA5603;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	90.21	11	0.9141140476056462	N/A
Sakinaw_120m_May2011_bin.32	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__CAIRDP01;s__CAIRDP01 sp903916595	GCA_903916595.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__CAIRDP01;s__CAIRDP01 sp903916595	97.64	0.79	GCA_903916595.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__CAIRDP01;s__CAIRDP01 sp903916595	97.64	0.79	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__CAIRDP01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_903887775.1, s__CAIRDP01 sp903887775, 95.0, 78.94, 0.44; GCA_903877385.1, s__CAIRDP01 sp903877385, 95.0, 78.39, 0.37; GCA_903837605.1, s__CAIRDP01 sp903837605, 95.0, 78.3, 0.38; GCA_903824935.1, s__CAIRDP01 sp903824935, 95.0, 77.93, 0.31	91.3	11	N/A	N/A
Sakinaw_120m_May2011_bin.34	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__CG1-02-41-26;g__CG1-02-41-26;s__	N/A	N/A	N/A	N/A	N/A	GCA_002773545.1	95.0	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__CG1-02-41-26;g__CG1-02-41-26;s__CG1-02-41-26 sp002773545	79.57	0.3	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__CG1-02-41-26;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	60.43	11	0.8928461967572716	N/A
Sakinaw_120m_May2011_bin.35	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__BAIKAL-G1-2R;s__	N/A	N/A	N/A	N/A	N/A	GCA_003670915.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__BAIKAL-G1-2R;s__BAIKAL-G1-2R sp003670915	96.66	0.63	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__BAIKAL-G1-2R;s__	taxonomic classification defined by topology and ANI	N/A	GCA_903877395.1, s__BAIKAL-G1-2R sp903877395, 95.0, 91.5, 0.73; GCA_002737405.1, s__BAIKAL-G1-2R sp002737405, 95.0, 80.47, 0.22; GCA_003670865.1, s__BAIKAL-G1-2R sp003670865, 95.0, 76.71, 0.13	78.02	11	0.9989715139819499	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Sakinaw_120m_May2011_bin.36	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA11705;f__UBA11705;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA11705;f__UBA11705;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	74.81	11	0.8235140132335412	N/A
Sakinaw_120m_May2011_bin.37	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	82.37	11	0.6993896685814373	N/A
Sakinaw_120m_May2011_bin.38	d__Bacteria;p__WOR-3;c__WOR-3;o__UBA2258;f__UBA2258;g__UBA2258;s__	N/A	N/A	N/A	N/A	N/A	GCA_002347155.1	95.0	d__Bacteria;p__WOR-3;c__WOR-3;o__UBA2258;f__UBA2258;g__UBA2258;s__UBA2258 sp002347155	80.88	0.54	d__Bacteria;p__WOR-3;c__WOR-3;o__UBA2258;f__UBA2258;g__UBA2258;s__	taxonomic classification defined by topology and ANI	N/A	GCA_903908785.1, s__UBA2258 sp903908785, 95.0, 80.89, 0.45	88.49	11	0.951129336287136	N/A
Sakinaw_120m_May2011_bin.39	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__Aerophobaceae;g__Aerophobus;s__Aerophobus profundus	GCA_000402295.1	95.0	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__Aerophobaceae;g__Aerophobus;s__Aerophobus profundus	96.62	0.72	GCA_000402295.1	95.0	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__Aerophobaceae;g__Aerophobus;s__Aerophobus profundus	96.62	0.72	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	70.26	11	N/A	N/A
Sakinaw_120m_May2011_bin.4	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__	N/A	N/A	N/A	N/A	N/A	GCA_001795315.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__9FT-COMBO-48-23 sp001795315	86.62	0.9	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	86.48	11	0.9454936526928786	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Sakinaw_120m_May2011_bin.41	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001303765.1	95.0	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__SM23-39;s__SM23-39 sp001303765	76.1	0.06	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	75.22	11	0.7908450752180914	N/A
Sakinaw_120m_May2011_bin.42	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	74.27	11	0.8748147950184193	N/A
Sakinaw_120m_May2011_bin.43	d__Bacteria;p__Omnitrophota;c__;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	71.17	11	0.37890350182365645	N/A
Sakinaw_120m_May2011_bin.44	d__Bacteria;p__Omnitrophota;c__Koll11;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__Koll11;o__;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	71.75	11	0.4885125670925649	N/A
Sakinaw_120m_May2011_bin.45	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1560;f__2-01-FULL-45-10;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_903843285.1	95.0	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1560;f__2-01-FULL-45-10;g__CAIMPC01;s__CAIMPC01 sp903843285	76.31	0.08	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1560;f__2-01-FULL-45-10;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	72.8	11	0.8504903540698322	N/A
Sakinaw_120m_May2011_bin.46	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	83.54	11	0.7073818731656067	N/A
Sakinaw_120m_May2011_bin.47	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__RGVT01;s__	N/A	N/A	N/A	N/A	N/A	GCA_009923125.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__RGVT01;s__RGVT01 sp009923125	82.77	0.66	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__RGVT01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_010027105.1, s__RGVT01 sp010027105, 95.0, 82.56, 0.65; GCA_009926295.1, s__RGVT01 sp009926295, 95.0, 81.98, 0.59	82.21	11	0.9696528767295246	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Sakinaw_120m_May2011_bin.48	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__;s__	taxonomic novelty determined using RED	N/A	N/A	78.9	11	0.9013937512545114	N/A
Sakinaw_120m_May2011_bin.49	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__Aminicenans;s__Aminicenans sakinawicola	GCA_000493965.1	95.0	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__Aminicenans;s__Aminicenans sakinawicola	99.76	0.91	GCA_000493965.1	95.0	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__Aminicenans;s__Aminicenans sakinawicola	99.76	0.91	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	86.48	11	N/A	N/A
Sakinaw_120m_May2011_bin.5	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1560;f__SKK-01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1560;f__SKK-01;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	83.11	11	0.8609435178230846	N/A
Sakinaw_120m_May2011_bin.50	d__Bacteria;p__Thermotogota;c__Thermotogae;o__MWEM01;f__MWEM01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Thermotogota;c__Thermotogae;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	88.96	11	0.7212692494925714	N/A
Sakinaw_120m_May2011_bin.51	d__Bacteria;p__Omnitrophota;c__Koll11;o__GIF10;f__UBA6249;g__GCA-002774445;s__	N/A	N/A	N/A	N/A	N/A	GCA_002774445.1	95.0	d__Bacteria;p__Omnitrophota;c__Koll11;o__GIF10;f__UBA6249;g__GCA-002774445;s__GCA-002774445 sp002774445	77.19	0.32	d__Bacteria;p__Omnitrophota;c__Koll11;o__GIF10;f__UBA6249;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	55.17	11	0.9070761643251962	N/A
Sakinaw_120m_May2011_bin.52	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__SHUY01;s__SHUY01 sp009694435	GCA_009694435.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__SHUY01;s__SHUY01 sp009694435	97.47	0.9	GCA_009694435.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__SHUY01;s__SHUY01 sp009694435	97.47	0.9	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	93.45	11	N/A	N/A
Sakinaw_120m_May2011_bin.53	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAAYJT01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_012522795.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAAYJT01;g__JAAYJT01;s__JAAYJT01 sp012522795	74.95	0.01	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	93.89	11	0.8443330798824432	N/A
Sakinaw_120m_May2011_bin.54	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA1414;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_014360385.1	95.0	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA1414;g__JACIXO01;s__JACIXO01 sp014360385	75.86	0.05	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA1414;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	85.31	11	0.8277901165207546	N/A
Sakinaw_120m_May2011_bin.56	d__Bacteria;p__Latescibacterota;c__Latescibacteria;o__Latescibacterales;f__Latescibacteraceae;g__Latescibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_000403035.1	95.0	d__Bacteria;p__Latescibacterota;c__Latescibacteria;o__Latescibacterales;f__Latescibacteraceae;g__Latescibacter;s__Latescibacter anaerobius	82.23	0.06	d__Bacteria;p__Latescibacterota;c__Latescibacteria;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	76.55	11	0.8645455411677654	N/A
Sakinaw_120m_May2011_bin.57	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__QYOJ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_014382125.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__QYOJ01;s__QYOJ01 sp014382125	76.13	0.06	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__QYOJ01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_007280875.1, s__QYOJ01 sp007280875, 95.0, 76.41, 0.08	76.97	11	0.9390445063447274	N/A
Sakinaw_120m_May2011_bin.58	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	82.97	11	0.7242142835634634	N/A
